ZO,Nazwa,WK,GK,Paragraf,PT,NZ,Regon,Typ,GT,NP,P4,PL,Grupa,NO,WW,Dzial,DW,Rozdzial,PK,NA,ZA
,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,302,0,,000903297,JB,1,,0,11420.00,1300,,5439.95,801,,80101,02,,5439.95
13085.96,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,401,0,,000903297,JB,1,,0,663000.00,1400,,285814.07,801,,80101,02,,663000.00
13085.96,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,404,0,,000903297,JB,1,,0,58000.00,1400,,41125.90,801,,80101,02,,41125.90
35577.31,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,411,0,,000903297,JB,1,,0,459320.00,1400,,224485.67,801,,80101,02,,459320.00
3877.30,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,412,0,,000903297,JB,1,,0,62196.00,1400,,23635.61,801,,80101,02,,62196.00
490.60,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,417,0,,000903297,JB,1,,0,25000.00,1400,,23034.60,801,,80101,02,,25000.00
490.60,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,421,0,,000903297,JB,1,,0,59595.00,1100,,36744.60,801,,80101,02,,37416.65
490.60,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,424,0,,000903297,JB,1,,0,20362.00,1100,,1527.90,801,,80101,02,,1527.90
490.60,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,426,0,,000903297,JB,1,,0,161700.00,1100,,78238.08,801,,80101,02,,78620.68
490.60,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,427,0,,000903297,JB,1,,0,21120.00,1100,,78238.08,801,,80101,02,,78620.68
490.60,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,428,0,,000903297,JB,1,,0,10780.00,1100,,420.00,801,,80101,02,,420.00
490.60,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,430,0,,000903297,JB,1,,0,46510.00,1100,,35325.64,801,,80101,02,,36174.83
490.60,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,436,0,,000903297,JB,1,,0,5390.00,1100,,1127.07,801,,80101,02,,1127.07
