województwo;powiat;gmina;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;język polski liczba zdających;język polski wynik średni (%);język polski odchylenie standardowe (%);język polski mediana (%);język polski modalna (%);matematyka liczba zdających;matematyka wynik średni (%);matematyka odchylenie standardowe (%);matematyka mediana (%);matematyka modalna (%);język angielski liczba zdających;język angielski wynik średni (%);język angielski odchylenie standardowe (%);język angielski mediana (%);język angielski modalna (%);język francuski liczba zdających;język francuski wynik średni (%);język francuski odchylenie standardowe (%);język francuski mediana (%);język francuski modalna (%);język hiszpański liczba zdających;język hiszpański wynik średni (%);język hiszpański odchylenie standardowe (%);język hiszpański mediana (%);język hiszpański modalna (%);język niemiecki liczba zdających;język niemiecki wynik średni (%);język niemiecki odchylenie standardowe (%);język niemiecki mediana (%);język niemiecki modalna (%);język rosyjski liczba zdających;język rosyjski wynik średni (%);język rosyjski odchylenie standardowe (%);język rosyjski mediana (%);język rosyjski modalna (%);język włoski liczba zdających;język włoski wynik średni (%);język włoski odchylenie standardowe (%);język włoski mediana (%);język włoski modalna (%)
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;272802;dla młodzieży;Nie;NAZARET-SZKOŁA PODSTAWOWA;Łódź;ul. Balonowa 1;11;54;21;53;53;11;56;21;56;72;11;74;24;85;;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;268746;dla młodzieży;Nie;SZKOŁA PODSTAWOWA MISTRZOSTWA SPORTOWEGO MARCINA GORTATA;Łódź;ul. Minerska 1/3;83;53;16;56;58;83;54;26;56;24;82;65;26;73;93;;;;;;;;;;;1;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;275125;dla młodzieży;Nie;SZKOŁA PODSTAWOWA Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ŚW. IGNACEGO LOYOLI;Łódź;ul. Stefana Żeromskiego 26;15;75;6;73;73;15;93;10;96;100;15;93;16;100;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23084;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 36 IM. ZENONA WASILEWSKIEGO;Łódź;ul. płk. dr. St. Więckowskiego 35;92;48;19;51;51;92;45;28;36;28;93;59;31;58;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23073;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 14 IM. JÓZEFA LOMPY;Łódź;ul. inż. pilota Wigury 8/10;106;59;19;60;71;106;58;30;64;100;110;70;31;87;98;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26462;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 173 IM. ŻOŁNIERZY DYWIZJI KOŚCIUSZKOWSKIEJ;Łódź;ul. Henryka Sienkiewicza 46;111;56;18;60;60;110;51;28;48;16;110;68;29;75;98;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23078;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 29 IM. JANA KOCHANOWSKIEGO;Łódź;ul. Przędzalniana 70;56;59;16;58;53;56;57;28;58;60;56;65;31;78;98;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23392;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 111;Łódź;ul. Stefana Jaracza 44/46;47;52;16;56;56;47;47;30;36;12;47;64;32;73;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23075;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 23 IM. MARII BOHUSZEWICZÓWNY;Łódź;ul. Gdańska 16;49;42;18;42;18;49;37;24;28;20;51;54;33;56;16;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23077;dla młodzieży;Tak;"SZKOŁA PODSTAWOWA NR 26 IM. ARMII ""ŁÓDŹ""";Łódź;ul. Kpt. Stefana Pogonowskiego 27/29;58;53;15;52;49;58;45;29;36;20;58;57;30;61;98;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;25195;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 70 IM. STANISŁAWA WYSPIAŃSKIEGO;Łódź;ul. Rewolucji 1905 r. 22;53;39;24;40;13;53;36;23;32;32;53;52;29;56;16;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26464;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 175 IM. HENRYKA RYLA;Łódź;ul. Pomorska 27;36;48;17;49;49;36;38;24;34;12;36;53;29;49;93;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26132;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 160 IM. POWSTAŃCÓW ŚLĄSKICH;Łódź;ul. Andrzeja Struga 24a;52;51;16;53;60;52;38;26;28;12;55;52;30;47;91;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26094;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 152 IM. ELIZY ORZESZKOWEJ;Łódź;ul. 28 Pułku Strzelców Kaniowskich 52/54;45;58;16;58;53;45;53;29;48;16;46;62;32;65;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23063;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 1 IM. ADAMA MICKIEWICZA;Łódź;ul. dr. Seweryna Sterlinga 24;86;68;16;68;67;86;62;30;64;100;91;76;30;93;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26268;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 170 IM. ANIELI KRZYWOŃ;Łódź;ul. Miedziana 1/3;30;47;19;44;38;29;29;22;24;24;29;46;28;36;15;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;64686;dla młodzieży;Nie;"SZKOŁA PODSTAWOWA STOWARZYSZENIA OŚWIATOWEGO ""TWOJA SZKOŁA""";Łódź;ul. Rewolucji 1905 r. 67;16;75;7;75;71;16;84;11;82;76;15;99;2;100;100;;;;;;;;;;;1;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;29497;dla młodzieży;Nie;MIĘDZYNARODOWA SZKOŁA PODSTAWOWA EDUKACJI INNOWACYJNEJ W ŁODZI;Łódź;ul. Pomorska 83/85;23;66;14;69;64;23;85;14;84;100;23;94;11;98;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;119365;dla młodzieży;Nie;"SZKOŁA PODSTAWOWA FUNDACJI ""SŁONECZNA KRAINA""";Łódź;ul. Pomorska 83/85;6;22;9;20;;6;18;9;12;12;6;23;25;13;9;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;90118;dla młodzieży;Nie;"SZKOŁA ""CENTRUM""";Łódź;ul. Gdańska 156;16;17;17;13;13;16;17;13;14;12;16;19;14;14;13;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;59774;dla dorosłych;Tak;SZKOŁA PODSTAWOWA DLA DOROSŁYCH W CENTRUM KSZTAŁCENIA USTAWICZNEGO IM. EWARYSTA ESTKOWSKIEGO W CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO;Łódź;ul. Stefana Żeromskiego 115;8;22;7;20;18;8;20;7;20;12;8;14;4;13;11;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;121610;dla młodzieży;Nie;NIEPUBLICZNA SZKOŁA PODSTAWOWA BRITISH INTERNATIONAL SCHOOL OF THE UNIVERSITY OF ŁÓDŹ;Łódź;ul. Fabryczna 4;7;61;14;62;;7;65;21;64;80;12;91;8;96;96;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;263137;dla dorosłych;Nie;"SZKOŁA PODSTAWOWA DLA DOROSŁYCH ""OMEGA"" W ŁODZI";Łódź;ul. Henryka Sienkiewicza 117;11;15;15;13;13;11;15;7;16;8;11;45;34;24;11;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23082;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 34 IM. WISŁAWY SZYMBORSKIEJ;Łódź;ul. Mieczysławy Ćwiklińskiej 9;148;71;14;71;71;148;76;25;88;100;148;85;22;95;100;;;;;;;;;;;2;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23404;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 114;Łódź;ul. Milionowa 64;67;69;16;71;67;67;74;22;76;100;69;77;24;85;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23085;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 37 IM. JANUSZA KUSOCIŃSKIEGO;Łódź;ul. Szpitalna 9/11;48;63;16;62;51;48;60;31;70;96;47;72;26;82;96;;;;;;;;;;;1;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23081;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 33 IM. DR. STEFANA KOPCIŃSKIEGO;Łódź;ul. Michała Lermontowa 7;68;65;15;64;64;68;66;26;70;92;68;70;29;81;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;34697;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 4 IM. KOMISJI EDUKACJI NARODOWEJ;Łódź;al. marsz. Józefa Piłsudskiego 101;45;55;18;60;60;45;48;30;36;24;49;65;31;76;98;;;;;;;;;;;1;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26694;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 205 IM. ŚW. JADWIGI KRÓLOWEJ POLSKI;Łódź;ul. Dąbrówki 1;146;65;15;67;76;146;64;27;70;92;149;78;26;89;100;;;;;;;;;;;1;;;;;;;;;;;;;;
