Kategoria uczniów,Uczniowie,Waga,Uczniowie przelicz.,Kwota razem w zł,Kategoria uczniów (cleared),Kategoria uczniów (shortcut)
"40. P24 - Ucz. zawody kier. mech., technik transp. drog.","0,00","0,05","0,00","0,00","P24 - Ucz. zawody kier. mech., technik transp. drog.",P24
41. P25 - Ucz. mniejszości narodowych i grup etn.,"0,00","0,20","0,00","0,00",P25 - Ucz. mniejszości narodowych i grup etn.,P25
"42. P25a- Ucz. mniejszości narod. i gr. etn. >42, >112 j.niem.","0,00","0,17","0,00","0,00","P25a- Ucz. mniejszości narod. i gr. etn. >42, >112 j.niem.",P25a-
43. P26 - Ucz. mniejszości narodowych i grup etn.,"0,00","1,00","0,00","0,00",P26 - Ucz. mniejszości narodowych i grup etn.,P26
"44. P26a-Ucz.mn.narod.i grup etn.o l.ucz.<=42,<=112 j.niem.","0,00","0,83","0,00","0,00","P26a-Ucz.mn.narod.i grup etn.o l.ucz.<=42,<=112 j.niem.",P26a
45. P27 - Ucz. mniejszości narodowych i grup etn.,"0,00","1,30","0,00","0,00",P27 - Ucz. mniejszości narodowych i grup etn.,P27
"46. P27a-Ucz. mn.narod.i grup etn.o l.ucz.<=30,<=80 j.niem.","0,00","1,08","0,00","0,00","P27a-Ucz. mn.narod.i grup etn.o l.ucz.<=30,<=80 j.niem.",P27a
47. P28 - Ucz. szkół dwujęz. z j. ojczystym dla mn...,"0,00","0,60","0,00","0,00",P28 - Ucz. szkół dwujęz. z j. ojczystym dla mn...,P28
48. P29 - Ucz. klas sportowych,"0,00","0,20","0,00","0,00",P29 - Ucz. klas sportowych,P29
49. P30 - Ucz. klas mistrzostwa sportowego,"0,00","1,00","0,00","0,00",P30 - Ucz. klas mistrzostwa sportowego,P30
50. P31 - Ucz. kształcący się w zawodach medycznych,"0,00","0,85","0,00","0,00",P31 - Ucz. kształcący się w zawodach medycznych,P31
51. P32 - Ucz. szkół muzycznych I st.,"0,00","0,85","0,00","0,00",P32 - Ucz. szkół muzycznych I st.,P32
52. P33 - Ucz. szkół muzycznych II st.,"0,00","1,50","0,00","0,00",P33 - Ucz. szkół muzycznych II st.,P33
53. P34 - Ucz.ogólnokształcących szkół muzycznych I st.,"0,00","2,01","0,00","0,00",P34 - Ucz.ogólnokształcących szkół muzycznych I st.,P34
54. P35 - Ucz.ogólnokształcących szkół muzycznych II st.,"0,00","3,36","0,00","0,00",P35 - Ucz.ogólnokształcących szkół muzycznych II st.,P35
55. P36 - Ucz. liceów sztuk plastycznych,"0,00","0,92","0,00","0,00",P36 - Ucz. liceów sztuk plastycznych,P36
56. P37 - Ucz. ogólnokształcących szkół sztuk pięknych,"0,00","1,35","0,00","0,00",P37 - Ucz. ogólnokształcących szkół sztuk pięknych,P37
57. P38 - Ucz. z nauczaniem indywidualnym bez orzeczeń,"3,29","1,00","3,27","19 874,28",P38 - Ucz. z nauczaniem indywidualnym bez orzeczeń,P38
58. P39 - Ucz. szkół przyszpitalnych i przysanatoryjnych,"0,00","1,10","0,00","0,00",P39 - Ucz. szkół przyszpitalnych i przysanatoryjnych,P39
59. P40 - Zesp. pozalek. i zaj. wych w szk. przyszp.,"0,00","1,94","0,00","0,00",P40 - Zesp. pozalek. i zaj. wych w szk. przyszp.,P40
60. P41 - Ucz. klas terapeutycznych,"0,00","0,60","0,00","0,00",P41 - Ucz. klas terapeutycznych,P41
61. P42 - Ucz. klas dwujęzycznych,"0,00","0,17","0,00","0,00",P42 - Ucz. klas dwujęzycznych,P42
62. P43 - Ucz. Oddziałów przygotowania wojskowego LO,"0,00","0,06","0,00","0,00",P43 - Ucz. Oddziałów przygotowania wojskowego LO,P43
63. P44 - Ucz. Oddziałów przygotowania wojskowego Tech,"0,00","0,05","0,00","0,00",P44 - Ucz. Oddziałów przygotowania wojskowego Tech,P44
64. P45 - Ucz. kszt. się w zaw. podst. dla żegl. m. i śród.,"0,00","3,00","0,00","0,00",P45 - Ucz. kszt. się w zaw. podst. dla żegl. m. i śród.,P45
65. P46 - Uczestnicy kursów kwalifik. szkoły placówki publ.,"0,00","0,36","0,00","0,00",P46 - Uczestnicy kursów kwalifik. szkoły placówki publ.,P46
66. P47 - Uczestnicy kursów kwalifik. szkoły niepubliczne,"0,00","0,35","0,00","0,00",P47 - Uczestnicy kursów kwalifik. szkoły niepubliczne,P47
67. P48 - Szkoły branżowe II st. KKZ,"0,00","0,68","0,00","0,00",P48 - Szkoły branżowe II st. KKZ,P48
"68. P49 - Ucz. klas I,II,III SP dla dzieci i młodzieży","1 207,00","0,07","77,93","473 932,03","P49 - Ucz. klas I,II,III SP dla dzieci i młodzieży",P49
69. P50 - Ucz. - dodatkowa nauka j. polskiego,"35,00","1,50","52,15","317 142,71",P50 - Ucz. - dodatkowa nauka j. polskiego,P50
70. P51 - Ucz. oddziałów przygotowawczych,"0,00","0,40","0,00","0,00",P51 - Ucz. oddziałów przygotowawczych,P51
"71. P52 - Ucz. SP, Ogólnoksz. Muz I St dla dz. i mł.","3 211,08","0,03","79,74","484 938,17","P52 - Ucz. SP, Ogólnoksz. Muz I St dla dz. i mł.",P52
72. P53 - Ucz. szkół ponadpods./ponadgim. dla dzieci i mł.,"0,00","0,01","0,00","0,00",P53 - Ucz. szkół ponadpods./ponadgim. dla dzieci i mł.,P53
73. P54 - Dzieci 6-letnie w przedszkolach,"352,00","0,75","262,24","1 594 774,79",P54 - Dzieci 6-letnie w przedszkolach,P54
74. P55 - Dzieci 6-letnie w oddz.przedszk. lub in. formach,"53,00","0,66","34,75","211 307,66",P55 - Dzieci 6-letnie w oddz.przedszk. lub in. formach,P55
