"Staniny egzaminów 2022 r.","Język polski","Matematyka","Język angielski","Suma"
"SZKOŁA PODSTAWOWA NR 1 IM.TADEUSZA KOŚCIUSZKI W KUTNIE",5,5,7,17
"SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO",5,6,6,17
"SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE",5,2,3,10
"SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA",5,6,7,18
"SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE",5,5,5,15
"SZKOŁA PODSTAWOWA NR 7 IM. ADAMA MICKIEWICZA",3,3,4,10
"SZKOŁA PODSTAWOWA NR 9 IM.WŁ.JAGIEŁŁY W KUTNIE",6,6,6,18
