ZO,Nazwa,WK,GK,Paragraf,PT,NZ,Regon,Typ,GT,NP,P4,PL,Grupa,NO,WW,Dzial,DW,Rozdzial,PK,NA,ZA
20468.92,Szkoła Podstawowa Nr 9,10,01,428,0,,001070630,JB,1,,0,4000.00,1100,,2270.00,801,,80101,02,,2270.00
20468.92,Szkoła Podstawowa Nr 9,10,01,430,0,,001070630,JB,1,,0,148150.00,1100,,148121.32,801,,80101,02,,148121.32
20468.92,Szkoła Podstawowa Nr 9,10,01,436,0,,001070630,JB,1,,0,9200.00,1100,,5310.91,801,,80101,02,,5310.91
20468.92,Szkoła Podstawowa Nr 9,10,01,441,0,,001070630,JB,1,,0,1100.00,1100,,818.45,801,,80101,02,,818.45
20468.92,Szkoła Podstawowa Nr 9,10,01,444,0,,001070630,JB,1,,0,357533.00,1100,,357532.35,801,,80101,02,,357532.35
20468.92,Szkoła Podstawowa Nr 9,10,01,448,0,,001070630,JB,1,,0,1000.00,1100,,143.00,801,,80101,02,,143.00
20468.92,Szkoła Podstawowa Nr 9,10,01,470,0,,001070630,JB,1,,0,4000.00,1100,,3132.00,801,,80101,02,,3132.00
324.70,Szkoła Podstawowa Nr 9,10,01,471,0,,001070630,JB,1,,0,10047.00,1400,,4117.70,801,,80101,02,,4117.70
98805.10,Szkoła Podstawowa Nr 9,10,01,479,0,,001070630,JB,1,,0,4368718.00,1400,,4075893.23,801,,80101,02,,4174698.33
328815.89,Szkoła Podstawowa Nr 9,10,01,480,0,,001070630,JB,1,,0,320200.00,1400,,320109.01,801,,80101,02,,320109.01
328815.89,Szkoła Podstawowa Nr 9,10,01,605,0,,001070630,JB,1,,0,40000.00,1600,,40000.00,801,,80101,02,,40000.00
328815.89,Szkoła Podstawowa Nr 9,10,01,606,0,,001070630,JB,1,,0,222300.00,1600,,222300.00,801,,80101,02,,222300.00
328815.89,Szkoła Podstawowa Nr 9,10,01,302,0,,001070630,JB,1,,0,1000.00,1300,,1000.00,801,,80107,02,,1000.00
8395.23,Szkoła Podstawowa Nr 9,10,01,411,0,,001070630,JB,1,,0,52700.00,1400,,43348.91,801,,80107,02,,47693.41
890.41,Szkoła Podstawowa Nr 9,10,01,412,0,,001070630,JB,1,,0,8000.00,1400,,4534.11,801,,80107,02,,5001.02
890.41,Szkoła Podstawowa Nr 9,10,01,444,0,,001070630,JB,1,,0,17252.00,1100,,17251.11,801,,80107,02,,17251.11
890.41,Szkoła Podstawowa Nr 9,10,01,471,0,,001070630,JB,1,,0,1500.00,1400,,17251.11,801,,80107,02,,17251.11
3349.61,Szkoła Podstawowa Nr 9,10,01,479,0,,001070630,JB,1,,0,286498.00,1400,,276276.57,801,,80107,02,,279626.18
23688.50,Szkoła Podstawowa Nr 9,10,01,480,0,,001070630,JB,1,,0,19500.00,1400,,19431.58,801,,80107,02,,19431.58
23688.50,Szkoła Podstawowa Nr 9,10,01,430,0,,001070630,JB,1,,0,10087.00,1100,,6199.20,801,,80146,02,,6199.20
23688.50,Szkoła Podstawowa Nr 9,10,01,470,0,,001070630,JB,1,,0,16813.00,1100,,16741.00,801,,80146,02,,16741.00
23688.50,Szkoła Podstawowa Nr 9,10,01,302,0,,001070630,JB,1,,0,1100.00,1300,,1057.37,801,,80148,02,,1057.37
2324.69,Szkoła Podstawowa Nr 9,10,01,401,0,,001070630,JB,1,,0,329460.00,1400,,322012.13,801,,80148,02,,324336.82
25089.81,Szkoła Podstawowa Nr 9,10,01,404,0,,001070630,JB,1,,0,21500.00,1400,,21456.70,801,,80148,02,,21456.70
9317.56,Szkoła Podstawowa Nr 9,10,01,411,0,,001070630,JB,1,,0,63100.00,1400,,56530.23,801,,80148,02,,61557.42
660.47,Szkoła Podstawowa Nr 9,10,01,412,0,,001070630,JB,1,,0,8300.00,1400,,4552.81,801,,80148,02,,4882.53
660.47,Szkoła Podstawowa Nr 9,10,01,422,0,,001070630,JB,1,,0,563000.00,1100,,546715.50,801,,80148,02,,546715.50
660.47,Szkoła Podstawowa Nr 9,10,01,428,0,,001070630,JB,1,,0,700.00,1100,,210.00,801,,80148,02,,210.00
660.47,Szkoła Podstawowa Nr 9,10,01,444,0,,001070630,JB,1,,0,12190.00,1100,,12189.57,801,,80148,02,,12189.57
660.47,Szkoła Podstawowa Nr 9,10,01,471,0,,001070630,JB,1,,0,1000.00,1400,,12189.57,801,,80148,02,,12189.57
7651.27,Szkoła Podstawowa Nr 9,10,01,411,0,,001070630,JB,1,,0,96500.00,1400,,96304.68,801,,80150,02,,96304.68
1096.24,Szkoła Podstawowa Nr 9,10,01,412,0,,001070630,JB,1,,0,14500.00,1400,,13771.26,801,,80150,02,,13771.26
1096.24,Szkoła Podstawowa Nr 9,10,01,421,0,,001070630,JB,1,,0,8000.00,1100,,7795.63,801,,80150,02,,7795.63
1096.24,Szkoła Podstawowa Nr 9,10,01,424,0,,001070630,JB,1,,0,4000.00,1100,,3974.44,801,,80150,02,,3974.44
1096.24,Szkoła Podstawowa Nr 9,10,01,479,0,,001070630,JB,1,,0,529100.00,1400,,527865.97,801,,80150,02,,527865.97
44744.33,Szkoła Podstawowa Nr 9,10,01,480,0,,001070630,JB,1,,0,34500.00,1400,,34498.06,801,,80150,02,,34498.06
44744.33,Szkoła Podstawowa Nr 9,10,01,606,0,,001070630,JB,1,,0,10000.00,1600,,10000.00,801,,80150,02,,10000.00
44744.33,Szkoła Podstawowa Nr 9,10,01,424,0,,001070630,JB,1,,0,56768.58,1100,,56768.58,801,,80153,02,,56768.58
44744.33,Szkoła Podstawowa Nr 9,10,01,324,0,,001070630,JB,1,,0,28520.00,1300,,28520.00,854,,85416,02,,28520.00
44744.33,Szkoła Podstawowa Nr 9,10,01,302,0,,001070630,JB,1,,0,2100.00,1300,,597.08,926,,92601,02,,597.08
1349.43,Szkoła Podstawowa Nr 9,10,01,401,0,,001070630,JB,1,,0,251835.00,1400,,234569.67,926,,92601,02,,235919.10
18877.56,Szkoła Podstawowa Nr 9,10,01,404,0,,001070630,JB,1,,0,14900.00,1400,,14866.34,926,,92601,02,,14866.34
5161.83,Szkoła Podstawowa Nr 9,10,01,411,0,,001070630,JB,1,,0,47800.00,1400,,41069.35,926,,92601,02,,43003.13
879.66,Szkoła Podstawowa Nr 9,10,01,412,0,,001070630,JB,1,,0,6800.00,1400,,5790.71,926,,92601,02,,6207.88
879.66,Szkoła Podstawowa Nr 9,10,01,421,0,,001070630,JB,1,,0,7639.00,1100,,2788.30,926,,92601,02,,2788.30
84411.41,Szkoła Podstawowa Nr 9,10,01,426,0,,001070630,JB,1,,0,696000.00,1100,,577308.78,926,,92601,02,,661720.19
