2023,,,język polski,,,,,matematyka,,,,,język angielski,,,,
Nazwa szkoły,Miejscowość,Ulica nr,liczba zdających,wynik średni (%),odchylenie standardowe (%),mediana (%),modalna (%),liczba zdających,wynik średni (%),odchylenie standardowe (%),mediana (%),modalna (%),liczba zdających,wynik średni (%),odchylenie standardowe (%),mediana (%),modalna (%)
SZKOŁA PODSTAWOWA NR 7 IM. ADAMA MICKIEWICZA,Kutno,ul. dr. Antoniego Troczewskiego 2,24,68,12,70,78,24,51,28,52,32,24,70,24,78,67
SZKOŁA PODSTAWOWA NR 1 IM.TADEUSZA KOŚCIUSZKI W KUTNIE,Kutno,ul. Kanclerza Andrzeja Zamoyskiego 1,191,66,17,69,76,191,50,29,44,24,194,67,29,78,93
SZKOŁA PODSTAWOWA NR 9 IM.WŁ.JAGIEŁŁY W KUTNIE,Kutno,ul. Władysława Jagiełły 6,117,63,15,64,62,118,53,27,56,68,117,72,27,84,95
SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE,Kutno,ul. Łąkoszyńska 9,84,67,15,70,71,84,61,26,68,68,85,73,25,82,98
SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE,Kutno,ul. Narutowicza 22,54,64,13,63,58,54,39,25,32,24,54,57,30,58,20
SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,Kutno,ul. Konduktorska 13,28,61,19,65,56,28,51,29,46,16,28,66,28,79,95
SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,Kutno,ul. Staszica 6,17,57,17,60,60,17,42,17,36,32,17,65,28,84,93
