ZO,Nazwa,WK,GK,Paragraf,PT,NZ,Regon,Typ,GT,NP,P4,PL,Grupa,NO,WW,Dzial,DW,Rozdzial,PK,NA,ZA
,Szkoła Podstawowa Nr 7,10,01,069,0,,001070630,JB,1,,0,200.00,,,,801,132.00,80101,02,132.00,
,Szkoła Podstawowa Nr 7,10,01,075,0,450.00,001070630,JB,1,,0,15000.00,,450.00,,801,17094.56,80101,02,17544.56,
,Szkoła Podstawowa Nr 7,10,01,092,0,450.00,001070630,JB,1,,0,2000.00,,450.00,,801,2038.59,80101,02,2038.59,
,Szkoła Podstawowa Nr 7,10,01,097,0,450.00,001070630,JB,1,,0,600.00,,450.00,,801,516.76,80101,02,516.76,
,Szkoła Podstawowa Nr 9,10,01,069,0,,001070630,JB,1,,0,200.00,,,,801,199.00,80101,02,199.00,
,Szkoła Podstawowa Nr 9,10,01,075,0,,001070630,JB,1,,0,107000.00,,,,801,111943.50,80101,02,111943.50,
,Szkoła Podstawowa Nr 9,10,01,083,0,,001070630,JB,1,,0,4000.00,,,,801,111943.50,80101,02,111943.50,
,Szkoła Podstawowa Nr 9,10,01,092,0,,001070630,JB,1,,0,9000.00,,,,801,9181.19,80101,02,9181.19,
,Szkoła Podstawowa Nr 9,10,01,097,0,,001070630,JB,1,,0,1500.00,,,,801,1871.17,80101,02,1871.17,
,Szkoła Podstawowa Nr 9,10,01,083,0,,001070630,JB,1,,0,563000.00,,,,801,546865.50,80148,02,546865.50,
,Szkoła Podstawowa Nr 9,10,01,097,0,,001070630,JB,1,,0,7000.00,,,,801,7225.00,80148,02,7225.00,
,Szkoła Podstawowa Nr 2,10,01,069,0,,368245067,JB,1,,0,200.00,,,,801,122.00,80101,02,122.00,
,Szkoła Podstawowa Nr 2,10,01,075,0,,368245067,JB,1,,0,9000.00,,,,801,7232.00,80101,02,7232.00,
,Szkoła Podstawowa Nr 2,10,01,083,0,,368245067,JB,1,,0,9000.00,,,,801,7232.00,80101,02,7232.00,
,Szkoła Podstawowa Nr 2,10,01,092,0,,368245067,JB,1,,0,4100.00,,,,801,3806.95,80101,02,3806.95,
,Szkoła Podstawowa Nr 2,10,01,095,0,,368245067,JB,1,,0,13934.00,,,,801,13933.44,80101,02,13933.44,
,Szkoła Podstawowa Nr 2,10,01,097,0,,368245067,JB,1,,0,1500.00,,,,801,952.95,80101,02,952.95,
,Szkoła Podstawowa Nr 2,10,01,083,0,,368245067,JB,1,,0,225000.00,,112.00,,801,216177.10,80148,02,216289.10,
,Szkoła Podstawowa Nr 2,10,01,097,0,,368245067,JB,1,,0,4000.00,,112.00,,801,1308.00,80148,02,1308.00,
,Szkoła Podstawowa Nr 1,10,01,069,0,,000903334,JB,1,,0,500.00,,,,801,171.00,80101,02,171.00,
,Szkoła Podstawowa Nr 1,10,01,075,0,,000903334,JB,1,,0,36100.00,,,,801,18549.03,80101,02,18549.03,
,Szkoła Podstawowa Nr 1,10,01,092,0,,000903334,JB,1,,0,3900.00,,,,801,4004.29,80101,02,4004.29,
,Szkoła Podstawowa Nr 1,10,01,095,0,,000903334,JB,1,,0,33288.00,,,,801,33288.00,80101,02,33288.00,
,Szkoła Podstawowa Nr 1,10,01,097,0,,000903334,JB,1,,0,3500.00,,,,801,32127.45,80101,02,32127.45,
,Szkoła Podstawowa Nr 1,10,01,083,0,,000903334,JB,1,,0,474000.00,,,,801,435812.50,80148,02,435812.50,
,Szkoła Podstawowa Nr 1,10,01,097,0,,000903334,JB,1,,0,12000.00,,,,801,10734.00,80148,02,10734.00,
,Szkoła Podstawowa Nr 6,10,01,069,0,,000903280,JB,1,,0,300.00,,,,801,189.00,80101,02,189.00,
,Szkoła Podstawowa Nr 6,10,01,075,0,1680.00,000903280,JB,1,,0,10000.00,,1680.00,,801,10197.75,80101,02,11877.75,
,Szkoła Podstawowa Nr 6,10,01,092,0,80.63,000903280,JB,1,,0,3000.00,,80.63,,801,4112.83,80101,02,4193.46,
,Szkoła Podstawowa Nr 6,10,01,097,0,80.63,000903280,JB,1,,0,700.00,,80.63,,801,4112.83,80101,02,4193.46,
,Szkoła Podstawowa Nr 6,10,01,083,0,80.63,000903280,JB,1,,0,220000.00,,2257.00,,801,216854.00,80148,02,219111.00,
,Szkoła Podstawowa Nr 6,10,01,097,0,80.63,000903280,JB,1,,0,5000.00,,2257.00,,801,2126.50,80148,02,2126.50,
,Szkoła Podstawowa Nr 5,10,01,069,0,,000903297,JB,1,,0,1500.00,,,,801,143.00,80101,02,143.00,
